digest,model,family,size,params_m,align,protocol,stream,view,axis,cell,theta_lo,theta_hi,tilt,n_frames,n_px_mean,AbsRel,SqRel,RMSE,RMSElog,log10,delta1,delta2,delta3,scale_ratio,raw_scale_ratio,anchored_ratio,gt_median,gt_std,gt_spread,AbsRel_ds,delta1_ds,ds_strata,pen,pen_ds
fcc6c600f83b,dav2_large,Depth-Anything-V2,Large,335.32,disparity_scale_shift,radial,synthetic,fisheye,theta,30-40,30.0,40.0,,200,47588,0.110355,0.394831,0.615262,0.142913,0.043128,0.918475,0.972965,0.985941,1.021857,1.376727,0.951833,2.306340,1.239038,0.838030,0.112369,0.915932,4.000000,1.1776,
fcc6c600f83b,dav2_large,Depth-Anything-V2,Large,335.32,disparity_scale_shift,radial,synthetic,fisheye,theta,40-50,40.0,50.0,,200,67824,0.123265,0.762838,0.717631,0.152901,0.044806,0.910013,0.971363,0.985072,0.983058,1.396854,0.914048,1.957265,1.170777,0.899930,0.133023,0.903766,4.000000,1.1776,
fcc6c600f83b,dav2_large,Depth-Anything-V2,Large,335.32,disparity_scale_shift,radial,synthetic,fisheye,theta,50-55,50.0,55.0,,200,36245,0.142519,0.507888,0.684739,0.172537,0.053383,0.880202,0.966209,0.983520,0.944024,1.375432,0.873528,1.697035,1.084828,0.946375,0.161329,0.861434,3.990000,1.1776,
fcc6c600f83b,dav2_large,Depth-Anything-V2,Large,335.32,disparity_scale_shift,radial,synthetic,rect,theta,0-10,0.0,10.0,,200,7926,0.110114,2.326254,0.648348,0.119951,0.032763,0.947593,0.973228,0.983976,1.008771,1.248949,1.004371,3.014825,0.718804,0.417720,0.096918,0.941754,2.715000,0.7271,
fcc6c600f83b,dav2_large,Depth-Anything-V2,Large,335.32,disparity_scale_shift,radial,synthetic,rect,theta,10-20,10.0,20.0,,200,25857,0.081000,0.690634,0.538184,0.113855,0.028845,0.951004,0.978728,0.988748,1.008463,1.323413,0.998383,2.870190,1.078711,0.613299,0.078303,0.951691,3.670000,0.7271,
fcc6c600f83b,dav2_large,Depth-Anything-V2,Large,335.32,disparity_scale_shift,radial,synthetic,rect,theta,20-30,20.0,30.0,,200,51196,0.074522,0.403557,0.484080,0.111681,0.028458,0.951039,0.980713,0.991415,1.005334,1.434378,0.990415,2.653615,1.233023,0.733406,0.079850,0.944674,3.975000,0.7271,
fcc6c600f83b,dav2_large,Depth-Anything-V2,Large,335.32,disparity_scale_shift,radial,synthetic,rect,theta,30-40,30.0,40.0,,200,94551,0.080480,0.237161,0.440288,0.118092,0.031457,0.942796,0.978141,0.990842,0.998527,1.588544,0.982405,2.300343,1.238497,0.838870,0.082072,0.940684,4.000000,0.7271,
fcc6c600f83b,dav2_large,Depth-Anything-V2,Large,335.32,disparity_scale_shift,radial,synthetic,rect,theta,40-50,40.0,50.0,,200,85810,0.085020,0.223405,0.387606,0.120077,0.033807,0.936862,0.978475,0.991081,1.004439,1.725436,0.982647,1.987273,1.167496,0.893078,0.091173,0.933847,4.000000,0.7271,
fcc6c600f83b,dav2_large,Depth-Anything-V2,Large,335.32,disparity_scale_shift,radial,synthetic,rect,theta,50-55,50.0,55.0,,200,2940,0.080067,0.072308,0.264576,0.103669,0.033866,0.933205,0.981008,0.993267,1.015906,1.782486,0.990840,1.943890,1.014456,0.632354,0.107486,0.911570,2.930000,0.7271,
fcc6c600f83b,da3_large,Depth-Anything-3,Large,410.94,scale_shift,radial,real,fisheye,theta,0-10,0.0,10.0,,200,4944,0.090185,0.051820,0.325821,0.126858,0.037846,0.919669,0.969398,0.990059,0.996655,2.291167,0.991683,3.000880,0.719866,0.424477,0.157895,0.833877,2.655000,1.4802,
